name,calories,protein_g,carbs_g,fat_g,fibre_g,food_group,diet_type,source
"Apricot, processed",236,1.2,10.9,0.6,0.6,"Fruits","non-vegetarian","IFCT2017"
"Avocado fruit",604,2.6,1.8,13.9,6.7,"Fruits","non-vegetarian","IFCT2017"
"Bael fruit",569,2.4,28.2,0.6,6.3,"Fruits","non-vegetarian","IFCT2017"
"Banana, ripe, montham",463,1.2,25,0.3,2.2,"Fruits","non-vegetarian","IFCT2017"
"Banana, ripe, poovam",445,1.5,23.4,0.4,2.3,"Fruits","non-vegetarian","IFCT2017"
"Banana, ripe, red",467,1.3,25.2,0.3,2,"Fruits","non-vegetarian","IFCT2017"
"Banana, ripe, robusta",440,1.1,23.6,0.3,1.9,"Fruits","non-vegetarian","IFCT2017"
"Black berry",227,0.9,10.6,0.6,4.4,"Fruits","non-vegetarian","IFCT2017"
"Cherries, red",250,1.5,11.9,0.5,2.1,"Fruits","non-vegetarian","IFCT2017"
"Currants, black",227,1.5,9.9,0.5,4.1,"Fruits","non-vegetarian","IFCT2017"
"Custard apple",414,1.6,20.4,0.7,5.1,"Fruits","non-vegetarian","IFCT2017"
"Dates, dry, pale brown",1340,2,74.9,0.4,9,"Fruits","non-vegetarian","IFCT2017"
"Dates, dry, dark brown",1301,1.9,72.7,0.4,9.1,"Fruits","non-vegetarian","IFCT2017"
"Dates, processed",1197,1,68,0.4,6.5,"Fruits","non-vegetarian","IFCT2017"
"Fig",341,2,16.3,0.4,4.6,"Fruits","non-vegetarian","IFCT2017"
"Goosberry",99,0.3,4.4,0.2,7.8,"Fruits","non-vegetarian","IFCT2017"
"Grapes, seeded, round, black",254,0.7,13.2,0.3,1.4,"Fruits","non-vegetarian","IFCT2017"
"Grapes, seeded, round, green",235,0.7,12.2,0.3,1.3,"Fruits","non-vegetarian","IFCT2017"
"Grapes, seeded, round, red",244,0.8,12.6,0.3,1.3,"Fruits","non-vegetarian","IFCT2017"
"Grapes, seedless, oval, black",395,1.3,20.5,0.5,1.6,"Fruits","non-vegetarian","IFCT2017"
"Grapes, seedless, round, green",224,0.6,11.8,0.3,1.3,"Fruits","non-vegetarian","IFCT2017"
"Grapes, seedless, round, black",374,1.1,19.9,0.4,1.2,"Fruits","non-vegetarian","IFCT2017"
"Guava, white flesh",135,1.3,5.1,0.3,8.6,"Fruits","non-vegetarian","IFCT2017"
"Guava, pink flesh",195,1.1,9.1,0.3,7.4,"Fruits","non-vegetarian","IFCT2017"
"Jack fruit, ripe",302,2.6,14,0.2,3.6,"Fruits","non-vegetarian","IFCT2017"
"Jambu fruit, ripe",235,0.8,12.3,0.2,3.1,"Fruits","non-vegetarian","IFCT2017"
"Karonda fruit",141,1,2.9,1.7,7.3,"Fruits","non-vegetarian","IFCT2017"
"Lemon, juice",153,0.3,36,0.8,0,"Fruits","non-vegetarian","IFCT2017"
"Lime, sweet, pulp",114,0.5,5.2,0.2,2.1,"Fruits","non-vegetarian","IFCT2017"
"Litchi",225,1,11.4,0.3,1.3,"Fruits","non-vegetarian","IFCT2017"
"Mango, ripe, banganapalli",175,0.5,8.2,0.6,1.9,"Fruits","non-vegetarian","IFCT2017"
"Mango, ripe, gulabkhas",209,0.5,10.3,0.5,1.7,"Fruits","non-vegetarian","IFCT2017"
"Mango, ripe, himsagar",187,0.4,9,0.5,1.6,"Fruits","non-vegetarian","IFCT2017"
"Mango, ripe, kesar",231,0.5,11.4,0.6,2,"Fruits","non-vegetarian","IFCT2017"
"Mango, ripe, neelam",178,0.7,8.2,0.6,1.8,"Fruits","non-vegetarian","IFCT2017"
"Mango, ripe, paheri",188,0.6,8.7,0.6,2,"Fruits","non-vegetarian","IFCT2017"
"Mango, ripe, totapari",248,0.4,12.8,0.5,1.7,"Fruits","non-vegetarian","IFCT2017"
"Mangosteen",219,0.6,11.4,0.2,1.9,"Fruits","non-vegetarian","IFCT2017"
"Manila tamarind",342,3.1,13.5,1.1,4.4,"Fruits","non-vegetarian","IFCT2017"
"Musk melon, orange flesh",97,0.4,4.2,0.4,1.5,"Fruits","non-vegetarian","IFCT2017"
"Musk melon, yellow flesh",116,0.4,5.4,0.3,1.5,"Fruits","non-vegetarian","IFCT2017"
"Orange, pulp",156,0.4,7.9,0.1,1.3,"Fruits","non-vegetarian","IFCT2017"
"Palm fruit, tender",101,0.4,4.9,0.1,2.4,"Fruits","non-vegetarian","IFCT2017"
"Papaya, ripe",100,0.3,4.6,0.2,2.8,"Fruits","non-vegetarian","IFCT2017"
"Peach",168,0.8,7.8,0.4,2.1,"Fruits","non-vegetarian","IFCT2017"
"Pear",157,0.3,8.1,0.3,4.5,"Fruits","non-vegetarian","IFCT2017"
"Phalsa",299,1.6,15.1,0.1,4.5,"Fruits","non-vegetarian","IFCT2017"
"Pineapple",180,0.5,9.4,0.2,3.5,"Fruits","non-vegetarian","IFCT2017"
"Plum",238,0.5,12.1,0.4,2.1,"Fruits","non-vegetarian","IFCT2017"
